,Average,Open American National Corpus
A,7.1959819749925105,6.00414512110871
B,4.972550413338595,5.82619800280528
C,9.23355470156797,8.99784369962526
D,6.073433018103845,6.02089308518433
E,4.7259416616906,4.15977557728138
F,3.7453813110558998,4.25188937969728
G,3.059264914131965,3.6447756819561596
H,3.71626392197932,3.8771536835053397
I,4.8925583982905945,3.89180815207151
J,0.73803117665539,1.21632089099168
K,0.801699558827745,1.51987773986224
L,3.090831839521575,3.59871878074821
M,5.49311913644882,5.93296627378734
N,1.866116032743705,2.44101576402118
O,2.899811523403665,2.38449138526597
P,9.13179014719066,7.362823706743151
Q,0.57472884729467,0.45219503004166
R,4.43387918033952,5.32794607155567
S,11.139210387463109,10.78359536918793
T,5.20332468753519,4.74176732890908
U,2.3089808665441955,2.26934913224611
V,1.6501122297458501,1.51778424435279
W,2.1301894360324,2.92880021772353
X,0.12547219192733,0.09420729792534
Y,0.307842767108165,0.4459145435133
Z,0.369088060143745,0.30774383988946
