,The Online Plain Text English Dictionary,Webster's English Dictionary,WordNet
1,27,26,2
2,104,93,13
3,949,936,294
4,3596,3530,1091
5,6635,6371,1678
6,11416,10290,2513
7,14693,12761,2950
8,16860,14822,3130
9,16474,14766,3255
10,13884,12831,2929
11,10238,9680,2416
12,7040,6874,1687
13,4282,4333,1222
14,2285,2463,697
15,1137,1288,389
16,513,611,219
17,220,293,112
18,81,118,28
19,29,54,19
20,6,23,18
21,4,18,1
22,0,10,0
23,1,6,1
24,0,6,0
25,0,5,0
26,0,3,0
27,0,2,0
28,0,0,0
29,0,0,0
30,0,2,0
31,0,1,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,1,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
