,Open American National Corpus,Average
E,12.04112220783171,11.5392226050234
O,7.507748683040109,8.897128329379456
T,9.19602576226738,8.57271004864201
A,8.19215404705616,8.556668868680065
I,7.477883799662161,7.381035215570179
N,7.0708166491257805,7.175028435330335
R,6.15514603241915,6.858322607310731
S,7.00939318115892,6.5443041384825005
L,4.26994938834875,4.2484062958325755
H,4.90279334208197,4.09819064967052
C,3.1758184060727896,3.600014713709185
D,3.5997582509512003,3.3615980153606753
F,2.06168459810292,2.765273578486215
U,2.76660732995293,2.69784968848288
P,2.1687951202538502,2.3998798790861198
M,2.5360710119607397,2.3581926286960897
G,2.0680306178300403,2.213620305764665
B,1.63759467843367,1.63228735857879
Y,1.87756426899319,1.524527266453265
W,1.8094731924617,1.381315891474685
V,1.04081155301467,0.9697538327954399
K,0.80120642980433,0.609863336484005
X,0.20418747257115,0.24486816641216
Q,0.10520242838162,0.14615465741407502
J,0.21207711871837,0.12942418411174
Z,0.11208442950460999,0.094359302768115
